code,pe,pe_tushare,pb,pb_tushare,bvps,bvps21,price,net_profits,totalAssets,Goodwill,Intangible_assets,accounts_receivable,debt,totals,date,there_price,now_price,max90,min90
300653,77.24249268,58.24,6.756486111,6.52,5.52358125,5.360091375,37.32,3865.23,502106100.0,0,18279200,43597300.0,41940400.0,80000000.0,2017/9/30,31.614,67.3,76.36,30.991
601811,23.96118307,17.01,2.133779119,1.94,6.050298217000001,5.355933015,12.91,66486.45,12353143700.0,500590000,372939000,1187522200.0,4514136700.0,1234000000.0,2017/9/30,11.79,9.72,12.598,9.38
603313,38.86772047,28.36,4.003138942,3.61,5.8204325,5.348289,23.3,14387.26,2197754400.0,0,121618100,377714800.0,679232500.0,240000000.0,2017/9/30,23.87,19.45,25.81,18.91
603758,38.58057648,28.8,2.516364718,2.47,5.452309795,5.348232415,13.72,15611.69,2638123500.0,0,32835600,152299900.0,211723900.0,439000000.0,2017/9/30,11.806,8.9,14.145,7.88
603896,122.8691518,91.15,8.245134622,7.42,5.406825,5.3479750710000005,44.58,5079.55,883625500.0,0,74700200,27463300.0,51969800.0,140000000.0,2017/9/30,46.987,48.68,57.273,42.686
603819,71.99073894,52.47,2.65475843,2.42,5.759469421,5.3472478510000006,15.29,2569.9,871719100.0,0,41461200,166262700.0,133362100.0,121000000.0,2017/9/30,14.553,18.44,19.765,13.957
603920,40.37681649,29.75,2.7761214180000002,2.71,5.738221642,5.338146791000001,15.93,15860.24,2943905400.0,0,17391900,536100300.0,619748400.0,402000000.0,2017/9/30,15.933,12.618,17.495,11.74
600587,93.4822142,365.98,1.9105739769999999,1.87,8.416318966,5.336154852,16.08,6983.66,11770269800.0,659757200,642218300,1969298100.0,7711026000.0,406000000.0,2017/9/30,14.058,13.58,16.29,13.281
2566,51.10071417,51.26,1.6727116819999999,1.67,5.482116314,5.318602115,9.17,5939.78,2691558900.0,1905800,57491700,174058000.0,819486700.0,331000000.0,2017/9/30,7.913,7.03,9.61,6.612
600239,17.38600018,27.67,0.833664535,1.53,5.481821295,5.318480548,4.57,42214.54,78803015000.0,449900,9819400,872917800.0,69989390600.0,1606000000.0,2017/12/31,4.6,4.49,5.115,4.175
603203,48.35533886,36.03,6.812067012999999,6.49,5.4608975410000005,5.318153115,37.2,9385.52,788873400.0,0,15708400,58049400.0,106935500.0,122000000.0,2017/9/30,28.409,22.35,31.929,21.63
600114,22.29963345,23.45,2.839506213,2.75,5.6805651379999995,5.315901995,16.13,31537.2,3302716600.0,29119500,246197100,432912100.0,579793100.0,436000000.0,2017/12/31,9.75,9.77,11.489,9.51
603979,32.68424542,24.25,1.451857441,1.42,6.426250769,5.314923402,9.33,16699.33,5238201500.0,7119500,53895500,2143356700.0,1424949300.0,585000000.0,2017/9/30,9.663,8.53,10.706,8.39
919,24.45231014,30.69,1.4429050719999998,1.63,5.814658333,5.308668115,8.39,17293.09,3856970600.0,93802400,123277700,537388900.0,803105100.0,504000000.0,2017/12/31,7.962,7.317,8.626,7.131
603615,30.55678983,29.71,2.2002426969999997,2.08,5.417584167,5.306659667,11.92,9362.24,1429728000.0,0,38159800,88739600.0,91348000.0,240000000.0,2017/12/31,11.941,12.24,16.82,10.794
2324,39.63694725,29.04,3.0156751980000003,2.76,7.73624428,5.303672103,23.33,15950.85,3658778300.0,315294400,136172400,1146442200.0,1426083700.0,271000000.0,2017/9/30,14.796,11.5,16.183,11.43
26,32.96738664,33.67,1.939841475,1.91,5.521069703999999,5.298116674,10.71,14261.64,3579789700.0,0,44223300,326254600.0,1111816800.0,439000000.0,2017/12/31,10.26,8.82,11.31,8.62
600516,11.90355584,12.78,4.867653004,4.77,5.429721465,5.296926708,26.43,397219.71,13952843200.0,0,479920100,791899400.0,3759151400.0,1789000000.0,2017/12/31,28.716,24.38,29.719,23.063
603456,51.2744002,49.82,3.0431909189999997,2.75,5.520521205,5.295789933,16.8,14678.67,3142511900.0,6669600,207547100,313366700.0,461771300.0,448000000.0,2017/12/31,9.325,9.6,11.5,8.968
300701,53.02053879999999,48.2,7.4273235,6.62,5.3585925,5.29474275,39.8,6005.22,458345400.0,0,8359700,17026600.0,21298300.0,80000000.0,2017/12/31,31.231,50.78,54.973,31.231
600845,44.65089216,48.79,4.310776148,4.59,6.03139646,5.2923037289999995,26.0,46059.55,8622424700.0,2042900,138768400,1941931500.0,3712821700.0,791000000.0,2017/12/31,26.914,26.35,32.136,21.48
600299,21.47409585,27.26,2.325710719,2.74,5.77027912,5.288413755,13.42,167608.64,21329082200.0,872298200,1781185200,1400215700.0,4072008400.0,2682000000.0,2017/12/31,11.996,11.64,13.851,11.43
600391,257.44990319999994,211.9,3.247729077,3.63,5.994958182,5.285252,19.47,2495.67,5796158200.0,0,103036900,780676800.0,3714785100.0,330000000.0,2017/9/30,17.944,14.55,22.375,13.47
603698,44.09752164,32.95,3.1710164489999997,3.05,5.793095146000001,5.28152801,18.37,17162.96,3814751100.0,0,83248500,702552200.0,1344747400.0,412000000.0,2017/9/30,17.695,14.98,20.014,14.34
768,96.78213762,98.79,2.660499302,2.96,6.231912929,5.265322853,16.58,47436.46,40738764200.0,0,392250400,8921626400.0,23090346900.0,2769000000.0,2017/12/31,14.987,15.64,19.363,13.95
603813,65.58925197,47.78,5.072125008,4.38,5.551913636,5.264777841,28.16,3778.18,714645600.0,0,64175800,84226500.0,161901400.0,88000000.0,2017/9/30,28.096,31.17,42.343,25.569
603500,48.55311588,35.8,3.7695705669999997,3.54,5.799069048,5.262086905,21.86,5672.88,844693500.0,0,33551200,225532500.0,80459600.0,126000000.0,2017/9/30,15.723,15.08,21.839,14.335
603823,34.27111477,29.15,2.704640927,2.75,5.753074222,5.261855556,15.56,10215.6,1923450400.0,0,56731300,368414000.0,572277400.0,225000000.0,2017/9/30,14.327,15.57,17.48,13.921
38,0.0,27.22,0.0,1.82,10.01977323,5.258412734,0.0,26720.77,5692531600.0,2308673600,65120000,605059800.0,387070200.0,523000000.0,2017/9/30,0.0,0.0,0.0,0.0
2386,73.46204708,39.5,1.23516328,1.08,5.521537202,5.255030595,6.82,6238.65,13963523600.0,113966700,612119600,217085800.0,9640931000.0,672000000.0,2017/9/30,7.47,7.13,8.2,6.52
2159,499.108321,450.95,3.0533540739999996,3.0,5.882056115,5.252269353,17.96,500.18,2672184900.0,84384300,51069500,10520200.0,1803509600.0,139000000.0,2017/12/31,16.44,18.88,21.42,16.44
2433,30.32822834,23.3,1.381562454,1.32,6.007690767000001,5.25179316,8.3,21045.41,7950704900.0,445075300,305068200,454033200.0,3025722500.0,769000000.0,2017/9/30,8.22,7.48,9.34,7.25
600128,145.6641414,283.03,1.549568592,1.63,5.9177761129999995,5.2502060319999995,9.17,1554.94,3092014400.0,18744900,83853800,487149700.0,1546469900.0,247000000.0,2017/9/30,8.913,6.54,10.045,6.36
603667,56.02672925,42.82,3.9031068510000004,3.76,5.646783663,5.2500598510000005,22.04,7946.35,1694861700.0,186800,105829500,266504700.0,448381900.0,202000000.0,2017/9/30,15.067,9.85,15.249,9.5
2603,41.5173985,30.54,2.7877538210000004,2.57,5.481115257000001,5.250008408,15.28,44385.44,7751184800.0,13503100,344772800,884039200.0,796187000.0,1206000000.0,2017/9/30,13.929,13.879,17.076,13.413
603320,54.11362414,38.98,4.062434035,3.7,5.523782,5.242463,22.44,4146.83,713664000.0,0,30394800,93773000.0,130891000.0,100000000.0,2017/9/30,20.984,22.91,27.767,20.458
2858,580.5527638,490.14,6.860367889,6.15,5.613401587,5.237873492,38.51,417.9,418137300.0,0,18479400,78860900.0,46013600.0,63000000.0,2017/9/30,15.556,17.12,25.56,14.92
600292,56.04883151,46.15,1.23496682,1.17,6.000161203999999,5.2370378230000005,7.41,10325.3,8897233100.0,17090200,533144500,1929697200.0,3677962700.0,781000000.0,2017/9/30,7.672,5.87,7.84,5.61
2918,30.56939755,22.88,7.710278351,3.25,5.92196519,5.236641582,45.66,23599.68,2515885000.0,0,92197300,360937100.0,1488017200.0,158000000.0,2017/9/30,30.225,23.66,32.734,22.84
2173,65.16619884,47.25,1.8052450869999999,1.67,7.577918421000001,5.235188596,13.68,9572.57,4637414200.0,1016294200,143807800,173302000.0,1038075600.0,456000000.0,2017/9/30,12.079,11.97,15.619,11.305
600196,29.25585095,34.37,4.663153472,4.24,9.015358437,5.232374345,42.04,358525.89,61971008800.0,8464284000,7248134600,3247537700.0,32229554900.0,2495000000.0,2017/12/31,41.44,41.39,47.89,37.56
603083,79.74001648,59.33,6.479617406,4.49,6.9186183670000005,5.2319173469999996,44.83,5509.58,1844727200.0,0,49727800,550989000.0,1116974800.0,98000000.0,2017/9/30,42.21,32.28,52.92,29.55
603889,34.24048201,25.79,2.614665811,2.53,5.362061928999999,5.227696117,14.02,16132.6,2511753300.0,0,78320000,176467100.0,320780900.0,394000000.0,2017/9/30,15.235,10.41,15.725,10.2
601377,19.6760172,16.29,1.2304626029999999,1.3,5.331328222,5.225774735,6.56,223278.52,149000000000.0,12264200,59008400,2315425000.0,113000000000.0,6697000000.0,2017/9/30,6.91,5.27,7.0,5.13
609,22.28986465,16.25,1.75204751,1.7,5.2167535119999995,5.216730936,9.14,12260.55,1763157900.0,0,0,22500.0,203348600.0,299000000.0,2017/9/30,9.18,6.19,9.55,6.03
789,15.37098235,21.03,1.995072854,2.28,5.899533931000001,5.21184478,11.77,46939.16,8451729000.0,222734300,647580100,662730500.0,4187734600.0,613000000.0,2017/9/30,10.764,10.94,13.189,10.248
600992,176.24108069999997,131.96,1.777704462,1.77,5.574604898,5.209279592,9.91,1377.63,2254036600.0,0,0,298349000.0,888258400.0,245000000.0,2017/9/30,9.323,8.75,10.976,7.45
603599,25.17410322,18.44,2.903405792,2.13,5.331669462,5.207346946,15.48,28593.67,3609439700.0,0,195719800,192699900.0,934493600.0,465000000.0,2017/9/30,16.937,14.215,17.175,13.74
601100,68.85417604,51.05,5.445618166,5.03,5.553088571,5.20661219,30.24,27668.91,5933603600.0,48148800,274593200,567104400.0,2160564600.0,630000000.0,2017/9/30,24.719,20.88,24.719,19.126
300630,152.110954,118.52,14.2354418,13.3,5.300854098,5.20651959,75.46,6052.24,781452700.0,0,26221500,38362700.0,108527000.0,122000000.0,2017/9/30,47.357,72.6,76.21,46.572
2716,56.11002369,44.67,3.702795367,3.13,5.206876991000001,5.204025823,19.28,19414.0,9145176800.0,0,774575400,5369700.0,5428715900.0,565000000.0,2017/9/30,18.62,16.84,20.78,16.84
